m x u^h u^p
2 -1 -0.0175587 -0.0125067
2 -0.96 -0.0164171 -0.0121138
2 -0.92 -0.0148437 -0.0109597
2 -0.88 -0.0127151 -0.00911703
2 -0.84 -0.00935745 -0.00670145
2 -0.8 -0.00573767 -0.0038648
2 -0.76 -0.00192741 -0.000785305
2 -0.72 0.00179167 0.00234353
2 -0.68 0.005392 0.00532511
2 -0.64 0.00860949 0.0079721
2 -0.6 0.0109463 0.0101182
2 -0.56 0.0126987 0.0116285
2 -0.52 0.0136101 0.0124081
2 -0.48 0.0136086 0.0124081
2 -0.44 0.0126942 0.0116285
2 -0.4 0.0110148 0.0101182
2 -0.36 0.00882706 0.0079721
2 -0.32 0.0058772 0.00532511
2 -0.28 0.00268093 0.00234353
2 -0.24 -0.000564881 -0.000785305
2 -0.2 -0.00378871 -0.0038648
2 -0.16 -0.00677025 -0.00670145
2 -0.12 -0.0094891 -0.00911703
2 -0.08 -0.0111399 -0.0109597
2 -0.04 -0.0123417 -0.0121138
2 3.46945e-16 -0.0131941 -0.0125067
2 0.04 -0.0123417 -0.0121138
2 0.08 -0.0111399 -0.0109597
2 0.12 -0.0094891 -0.00911703
2 0.16 -0.00677025 -0.00670145
2 0.2 -0.00378871 -0.0038648
2 0.24 -0.000564881 -0.000785305
2 0.28 0.00268093 0.00234353
2 0.32 0.0058772 0.00532511
2 0.36 0.00882706 0.0079721
2 0.4 0.0110148 0.0101182
2 0.44 0.0126942 0.0116285
2 0.48 0.0136086 0.0124081
2 0.52 0.0136101 0.0124081
2 0.56 0.0126987 0.0116285
2 0.6 0.0109463 0.0101182
2 0.64 0.00860949 0.0079721
2 0.68 0.005392 0.00532511
2 0.72 0.00179167 0.00234353
2 0.76 -0.00192741 -0.000785305
2 0.8 -0.00573767 -0.0038648
2 0.84 -0.00935745 -0.00670145
2 0.88 -0.0127151 -0.00911703
2 0.92 -0.0148437 -0.0109597
2 0.96 -0.0164171 -0.0121138
4 -1 0.00452355 0.00315629
4 -0.96 0.00347387 0.00276588
4 -0.92 0.00211731 0.00169123
4 -0.88 0.000366196 0.000198185
4 -0.84 -0.00132542 -0.00134388
4 -0.8 -0.00277486 -0.00255349
4 -0.76 -0.00371023 -0.0031314
4 -0.72 -0.00325556 -0.00293465
4 -0.68 -0.00221979 -0.0020119
4 -0.64 -0.000673733 -0.00059143
4 -0.6 0.000848702 0.000975348
4 -0.56 0.00231587 0.00230084
4 -0.52 0.00316653 0.00305713
4 -0.48 0.0031731 0.00305713
4 -0.44 0.00233556 0.00230084
4 -0.4 0.000942991 0.000975348
4 -0.36 -0.000479571 -0.00059143
4 -0.32 -0.00189045 -0.0020119
4 -0.28 -0.00280854 -0.00293465
4 -0.24 -0.00321237 -0.0031314
4 -0.2 -0.00241455 -0.00255349
4 -0.16 -0.00121981 -0.00134388
4 -0.12 0.000154634 0.000198185
4 -0.08 0.0015241 0.00169123
4 -0.04 0.00256634 0.00276588
4 3.46945e-16 0.00335406 0.00315629
4 0.04 0.00256634 0.00276588
4 0.08 0.0015241 0.00169123
4 0.12 0.000154634 0.000198185
4 0.16 -0.00121981 -0.00134388
4 0.2 -0.00241455 -0.00255349
4 0.24 -0.00321237 -0.0031314
4 0.28 -0.00280854 -0.00293465
4 0.32 -0.00189045 -0.0020119
4 0.36 -0.000479571 -0.00059143
4 0.4 0.000942991 0.000975348
4 0.44 0.00233556 0.00230084
4 0.48 0.0031731 0.00305713
4 0.52 0.00316653 0.00305713
4 0.56 0.00231587 0.00230084
4 0.6 0.000848702 0.000975348
4 0.64 -0.000673733 -0.00059143
4 0.68 -0.00221979 -0.0020119
4 0.72 -0.00325556 -0.00293465
4 0.76 -0.00371023 -0.0031314
4 0.8 -0.00277486 -0.00255349
4 0.84 -0.00132542 -0.00134388
4 0.88 0.000366196 0.000198185
4 0.92 0.00211731 0.00169123
4 0.96 0.00347387 0.00276588
8 -1 0.00113374 0.000790946
8 -0.96 0.000420319 0.00042381
8 -0.92 -0.000280743 -0.000336768
8 -0.88 -0.000965922 -0.000784709
8 -0.84 -0.000471666 -0.000504168
8 -0.8 0.000184029 0.000244416
8 -0.76 0.000824211 0.000766097
8 -0.72 0.000517647 0.000576575
8 -0.68 -0.000101393 -0.000148208
8 -0.64 -0.000706982 -0.000735403
8 -0.6 -0.000564138 -0.000639888
8 -0.56 2.70047e-05 4.96639e-05
8 -0.52 0.000606736 0.000693111
8 -0.48 0.000611846 0.000693111
8 -0.44 4.23336e-05 4.96639e-05
8 -0.4 -0.000519013 -0.000639888
8 -0.36 -0.000661942 -0.000735403
8 -0.32 -0.000108417 -0.000148208
8 -0.28 0.00044035 0.000576575
8 -0.24 0.000715356 0.000766097
8 -0.2 0.000172367 0.000244416
8 -0.16 -0.000368302 -0.000504168
8 -0.12 -0.000773299 -0.000784709
8 -0.08 -0.000235976 -0.000336768
8 -0.04 0.000300725 0.00042381
8 3.46945e-16 0.000836945 0.000790946
8 0.04 0.000300725 0.00042381
8 0.08 -0.000235976 -0.000336768
8 0.12 -0.000773299 -0.000784709
8 0.16 -0.000368302 -0.000504168
8 0.2 0.000172367 0.000244416
8 0.24 0.000715356 0.000766097
8 0.28 0.00044035 0.000576575
8 0.32 -0.000108417 -0.000148208
8 0.36 -0.000661942 -0.000735403
8 0.4 -0.000519013 -0.000639888
8 0.44 4.23336e-05 4.96639e-05
8 0.48 0.000611846 0.000693111
8 0.52 0.000606736 0.000693111
8 0.56 2.70047e-05 4.96639e-05
8 0.6 -0.000564138 -0.000639888
8 0.64 -0.000706982 -0.000735403
8 0.68 -0.000101393 -0.000148208
8 0.72 0.000517647 0.000576575
8 0.76 0.000824211 0.000766097
8 0.8 0.000184029 0.000244416
8 0.84 -0.000471666 -0.000504168
8 0.88 -0.000965922 -0.000784709
8 0.92 -0.000280743 -0.000336768
8 0.96 0.000420319 0.00042381
12 -1 0.000481054 0.000351686
12 -0.96 0.000167653 2.20825e-05
12 -0.92 -5.90908e-06 -0.000348913
12 -0.88 3.23631e-07 -6.58994e-05
12 -0.84 8.72456e-06 0.000340637
12 -0.8 -7.25155e-05 0.000108677
12 -0.76 -0.000351647 -0.000326989
12 -0.72 -0.000216085 -0.000149741
12 -0.68 5.43855e-06 0.000308185
12 -0.64 4.63678e-07 0.000188443
12 -0.6 -5.75341e-06 -0.00028452
12 -0.56 3.55466e-06 -0.000224173
12 -0.52 0.00025692 0.000256368
12 -0.48 0.0002585 0.000256368
12 -0.44 8.29319e-06 -0.000224173
12 -0.4 -2.58474e-06 -0.00028452
12 -0.36 2.90501e-06 0.000188443
12 -0.32 9.08219e-06 0.000308185
12 -0.28 -0.000184487 -0.000149741
12 -0.24 -0.000304673 -0.000326989
12 -0.2 -6.64232e-05 0.000108677
12 -0.16 4.40459e-06 0.000340637
12 -0.12 -9.13046e-07 -6.58994e-05
12 -0.08 -6.54204e-06 -0.000348913
12 -0.04 0.000123165 2.20825e-05
12 3.46945e-16 0.000358133 0.000351686
12 0.04 0.000123165 2.20825e-05
12 0.08 -6.54204e-06 -0.000348913
12 0.12 -9.13046e-07 -6.58994e-05
12 0.16 4.40459e-06 0.000340637
12 0.2 -6.64232e-05 0.000108677
12 0.24 -0.000304673 -0.000326989
12 0.28 -0.000184487 -0.000149741
12 0.32 9.08219e-06 0.000308185
12 0.36 2.90501e-06 0.000188443
12 0.4 -2.58474e-06 -0.00028452
12 0.44 8.29319e-06 -0.000224173
12 0.48 0.0002585 0.000256368
12 0.52 0.00025692 0.000256368
12 0.56 3.55466e-06 -0.000224173
12 0.6 -5.75341e-06 -0.00028452
12 0.64 4.63678e-07 0.000188443
12 0.68 5.43855e-06 0.000308185
12 0.72 -0.000216085 -0.000149741
12 0.76 -0.000351647 -0.000326989
12 0.8 -7.25155e-05 0.000108677
12 0.84 8.72456e-06 0.000340637
12 0.88 3.23631e-07 -6.58994e-05
12 0.92 -5.90908e-06 -0.000348913
12 0.96 0.000167653 2.20825e-05
