N e0 e1 e_2
2 1 1 1
3 0.440045 0.420972 0.688912
4 0.00137758 0.00137758 0.00137758
5 0.131165 0.219272 0.255066
6 0.0834719 0.179827 0.175702
7 0.0578181 0.152795 0.128306
8 0.0425056 0.132984 0.0691583
9 0.0326286 0.117793 0.077031
10 0.0258757 0.105754 0.0622468
11 0.021047 0.0959695 0.0513507
12 0.0174697 0.0878551 0.0373156
13 0.0147427 0.0810141 0.0366736
14 0.0126143 0.0751669 0.0315935
15 0.01092 0.0701105 0.0275015
16 0.00954852 0.0656942 0.022318
17 0.00842214 0.0618031 0.0213878
18 0.0074854 0.0583485 0.0190694
19 0.00669776 0.0552607 0.0171089
20 0.00602898 0.052484 0.0146806
21 0.00545618 0.0499737 0.0139971
22 0.00496174 0.047693 0.0127506
23 0.00453193 0.0456117 0.0116638
24 0.0041559 0.0437048 0.0103454
25 0.00382501 0.0419512 0.00986899
26 0.00353229 0.040333 0.00912309
27 0.00327205 0.0388353 0.0084589
28 0.00303965 0.0374449 0.00766754
29 0.00283125 0.0361507 0.0073308
30 0.00264363 0.0349431 0.0068493
31 0.00247412 0.0338137 0.00641428
32 0.00232045 0.032755 0.00590366
33 0.0021807 0.0317607 0.00565963
34 0.00205324 0.030825 0.005331
35 0.00193667 0.0299429 0.0050307
36 0.00182977 0.0291099 0.00468314
37 0.0017315 0.0283221 0.00450099
38 0.00164096 0.0275758 0.00426677
39 0.00155735 0.0268678 0.00405076
40 0.00147999 0.0261953 0.00380369
41 0.00140826 0.0255557 0.003665
42 0.00134163 0.0249465 0.00349224
43 0.00127962 0.0243658 0.00333181
44 0.00122183 0.0238115 0.00315023
45 0.00116787 0.0232818 0.00304192
46 0.00111741 0.0227753 0.00291091
47 0.00107016 0.0222903 0.0027887
48 0.00102584 0.0218255 0.00265073
49 0.000984231 0.0213797 0.00256537
50 0.000945104 0.0209518 0.0024646
