N log(e0) log(e1) log(e_2)
2 0 0 0
3 -0.820879 -0.86519 -0.372642
4 -6.58742 -6.58742 -6.58742
5 -2.0313 -1.51744 -1.36623
6 -2.48325 -1.71576 -1.73896
7 -2.85045 -1.87866 -2.05334
8 -3.15812 -2.01753 -2.67136
9 -3.42257 -2.13883 -2.56355
10 -3.65445 -2.24664 -2.77665
11 -3.861 -2.34372 -2.96908
12 -4.04729 -2.43207 -3.28834
13 -4.21701 -2.51313 -3.3057
14 -4.37292 -2.58804 -3.4548
15 -4.51715 -2.65768 -3.59351
16 -4.65137 -2.72275 -3.80236
17 -4.77689 -2.7838 -3.84493
18 -4.8948 -2.84132 -3.95967
19 -5.00598 -2.89569 -4.06816
20 -5.11118 -2.94725 -4.22123
21 -5.21101 -2.99626 -4.2689
22 -5.306 -3.04297 -4.36217
23 -5.39661 -3.08759 -4.45127
24 -5.48323 -3.1303 -4.57121
25 -5.56619 -3.17125 -4.61836
26 -5.64581 -3.21058 -4.69695
27 -5.72234 -3.24843 -4.77254
28 -5.79601 -3.28489 -4.87076
29 -5.86704 -3.32006 -4.91567
30 -5.9356 -3.35403 -4.98361
31 -6.00187 -3.38689 -5.04923
32 -6.06599 -3.4187 -5.13218
33 -6.12811 -3.44953 -5.1744
34 -6.18833 -3.47943 -5.23422
35 -6.24679 -3.50846 -5.2922
36 -6.30357 -3.53668 -5.36379
37 -6.35877 -3.56411 -5.40346
38 -6.41247 -3.59082 -5.4569
39 -6.46477 -3.61683 -5.50885
40 -6.51572 -3.64218 -5.57178
41 -6.5654 -3.6669 -5.60893
42 -6.61387 -3.69102 -5.65721
43 -6.66119 -3.71457 -5.70424
44 -6.70741 -3.73759 -5.76028
45 -6.75258 -3.76008 -5.79527
46 -6.79674 -3.78208 -5.83929
47 -6.83995 -3.80361 -5.88218
48 -6.88224 -3.82468 -5.93292
49 -6.92365 -3.84531 -5.96565
50 -6.96422 -3.86553 -6.00573
